GO name,C0,C0 Rank,C1,C2,C3,C4,C5,C6,C0,C1,C2,C3,C4,C5,C6
rRNA (guanine) methyltransferase activity,0,1741,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
rRNA (guanine-N7)-methylation,0,1742,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
cap-dependent translational initiation,0,1743,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
mRNA cap binding,0,1744,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
protein kinase activator activity,0,1745,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
regulation of cell growth,0,1746,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
establishment of cell polarity,0,1747,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
glucose homeostasis,0,1748,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
peptidyl-lysine methylation,0,1749,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
protein-lysine N-methyltransferase activity,0,1750,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
protein kinase 5 complex,0,1751,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
signal recognition particle receptor complex,0,1752,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
pyridine nucleotide biosynthetic process,0,1753,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
nicotinate-nucleotide adenylyltransferase activity,0,1754,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
nicotinamide-nucleotide adenylyltransferase activity,0,1755,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
adenylyltransferase activity,0,1756,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
primary miRNA processing,0,1757,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
microprocessor complex,0,1758,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
leucine catabolic process,0,1759,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
1-phosphatidylinositol 4-kinase activity,0,1760,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
anaphase-promoting complex,0,1761,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
carboxylic ester hydrolase activity,0,1762,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
ribonuclease activity,0,1763,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
endoplasmic reticulum unfolded protein response,0,1764,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
dystrophin-associated glycoprotein complex,0,1765,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
translation repressor activity,0,1766,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
sodium-dependent phosphate transport,0,1767,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
sodium:phosphate symporter activity,0,1768,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
apical plasma membrane,0,1769,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
midbody,0,1770,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
lysophospholipase activity,0,1771,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
phosphatidylcholine metabolic process,0,1772,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
H2A histone acetyltransferase activity,0,1773,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
H4 histone acetyltransferase activity,0,1774,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
ATPase-coupled transmembrane transporter activity,0,1775,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
phosphoacetylglucosamine mutase activity,0,1776,0,0,1,0,0,0,0,0,0,0.046274873,0,0,0
deoxyribonuclease II activity,1,521,1,2,0,0,1,5,0.017879492,0.063091483,0.082236842,0,0,0.02016129,0.352112676
carboxylic acid metabolic process,7,131,1,0,0,2,6,4,0.125156446,0.063091483,0,0,0.133511348,0.120967742,0.281690141
carboxy-lyase activity,2,334,0,0,0,2,4,4,0.035758984,0,0,0,0.133511348,0.080645161,0.281690141
cell surface,2,333,0,0,0,0,5,4,0.035758984,0,0,0,0,0.100806452,0.281690141
"oxidoreductase activity, acting on the CH-CH group of donors",1,522,0,0,0,0,3,4,0.017879492,0,0,0,0,0.060483871,0.281690141
hormone activity,0,1035,0,0,0,1,0,4,0,0,0,0,0.066755674,0,0.281690141
monooxygenase activity,6,147,0,2,0,1,0,3,0.107276953,0,0.082236842,0,0.066755674,0,0.211267606
metallocarboxypeptidase activity,1,523,0,1,0,0,3,3,0.017879492,0,0.041118421,0,0,0.060483871,0.211267606
phospholipid metabolic process,0,1039,0,1,0,0,1,3,0,0,0.041118421,0,0,0.02016129,0.211267606
glutathione transferase activity,0,1040,0,1,0,0,0,3,0,0,0.041118421,0,0,0,0.211267606
flavin adenine dinucleotide binding,3,236,2,0,0,2,8,3,0.053638477,0.126182965,0,0,0.133511348,0.161290323,0.211267606
carbon-carbon lyase activity,0,1036,1,0,0,2,5,3,0,0.063091483,0,0,0.133511348,0.100806452,0.211267606
carbohydrate transport,2,335,0,0,0,0,2,3,0.035758984,0,0,0,0,0.040322581,0.211267606
pyrimidine nucleotide-sugar transmembrane transporter activity,1,524,0,0,0,0,1,3,0.017879492,0,0,0,0,0.02016129,0.211267606
pyrimidine nucleotide-sugar transmembrane transport,1,525,0,0,0,0,1,3,0.017879492,0,0,0,0,0.02016129,0.211267606
cysteine-type endopeptidase inhibitor activity,0,1038,0,0,0,1,1,3,0,0,0,0,0.066755674,0.02016129,0.211267606
carboxypeptidase activity,0,1037,0,0,0,0,5,3,0,0,0,0,0,0.100806452,0.211267606
ion transmembrane transport,10,96,2,5,0,5,4,2,0.178794922,0.126182965,0.205592105,0,0.333778371,0.080645161,0.14084507
nuclease activity,1,527,5,3,0,3,6,2,0.017879492,0.315457413,0.123355263,0,0.200267023,0.120967742,0.14084507
"DNA-templated transcription, initiation",5,163,0,2,0,0,5,2,0.089397461,0,0.082236842,0,0,0.100806452,0.14084507
myosin complex,2,336,0,2,0,1,1,2,0.035758984,0,0.082236842,0,0.066755674,0.02016129,0.14084507
chloride transport,0,1043,0,2,0,0,5,2,0,0,0.082236842,0,0,0.100806452,0.14084507
electron transport chain,8,114,1,1,0,1,5,2,0.143035938,0.063091483,0.041118421,0,0.066755674,0.100806452,0.14084507
small-subunit processome,2,339,1,1,0,1,0,2,0.035758984,0.063091483,0.041118421,0,0.066755674,0,0.14084507
nuclear receptor activity,1,534,1,1,0,0,0,2,0.017879492,0.063091483,0.041118421,0,0,0,0.14084507
transcription factor TFIID complex,1,535,1,1,0,0,0,2,0.017879492,0.063091483,0.041118421,0,0,0,0.14084507
cell periphery,0,1044,1,1,0,0,4,2,0,0.063091483,0.041118421,0,0,0.080645161,0.14084507
small ribosomal subunit,0,1041,0,1,0,1,10,2,0,0,0.041118421,0,0.066755674,0.201612903,0.14084507
glutathione metabolic process,0,1047,0,1,0,0,1,2,0,0,0.041118421,0,0,0.02016129,0.14084507
voltage-gated chloride channel activity,0,1048,0,1,0,0,1,2,0,0,0.041118421,0,0,0.02016129,0.14084507
SLIK (SAGA-like) complex,0,1057,0,1,0,0,0,2,0,0,0.041118421,0,0,0,0.14084507
SAGA complex,0,1058,0,1,0,0,0,2,0,0,0.041118421,0,0,0,0.14084507
gluconeogenesis,2,340,2,0,0,1,0,2,0.035758984,0.126182965,0,0,0.066755674,0,0.14084507
"phosphotransferase activity, for other substituted phosphate groups",4,185,1,0,0,1,2,2,0.071517969,0.063091483,0,0,0.066755674,0.040322581,0.14084507
sphingolipid metabolic process,3,240,1,0,0,0,2,2,0.053638477,0.063091483,0,0,0,0.040322581,0.14084507
intracellular non-membrane-bounded organelle,0,1054,1,0,0,0,1,2,0,0.063091483,0,0,0,0.02016129,0.14084507
electron transfer activity,3,238,0,0,0,1,3,2,0.053638477,0,0,0,0.066755674,0.060483871,0.14084507
phospholipid biosynthetic process,3,239,0,0,0,1,3,2,0.053638477,0,0,0,0.066755674,0.060483871,0.14084507
protein serine kinase activity,3,241,0,0,0,1,1,2,0.053638477,0,0,0,0.066755674,0.02016129,0.14084507
flavin-linked sulfhydryl oxidase activity,1,531,0,0,0,1,1,2,0.017879492,0,0,0,0.066755674,0.02016129,0.14084507
glucuronosyltransferase activity,1,529,0,0,0,0,4,2,0.017879492,0,0,0,0,0.080645161,0.14084507
UDP-glycosyltransferase activity,1,530,0,0,0,0,4,2,0.017879492,0,0,0,0,0.080645161,0.14084507
NADP binding,1,532,0,0,0,0,1,2,0.017879492,0,0,0,0,0.02016129,0.14084507
phospholipase A2 activity,0,1049,0,0,0,0,1,2,0,0,0,0,0,0.02016129,0.14084507
arachidonic acid secretion,0,1050,0,0,0,0,1,2,0,0,0,0,0,0.02016129,0.14084507
"GDP-mannose 4,6-dehydratase activity",0,1051,0,0,0,0,1,2,0,0,0,0,0,0.02016129,0.14084507
GDP-mannose metabolic process,0,1052,0,0,0,0,1,2,0,0,0,0,0,0.02016129,0.14084507
GDP-L-fucose biosynthetic process,0,1053,0,0,0,0,1,2,0,0,0,0,0,0.02016129,0.14084507
"8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity",0,1059,0,0,0,0,0,2,0,0,0,0,0,0,0.14084507
DNA protection,0,1060,0,0,0,0,0,2,0,0,0,0,0,0,0.14084507
ubiquitin conjugating enzyme activity,0,1061,0,0,0,0,0,2,0,0,0,0,0,0,0.14084507
organelle membrane contact site,0,1062,0,0,0,0,0,2,0,0,0,0,0,0,0.14084507
aromatic amino acid family metabolic process,0,1063,0,0,0,0,0,2,0,0,0,0,0,0,0.14084507
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen",0,1064,0,0,0,0,0,2,0,0,0,0,0,0,0.14084507
intracellular membrane-bounded organelle,3,248,4,3,0,0,3,1,0.053638477,0.252365931,0.123355263,0,0,0.060483871,0.070422535
cytoskeletal motor activity,4,192,2,3,0,1,3,1,0.071517969,0.126182965,0.123355263,0,0.066755674,0.060483871,0.070422535
potassium ion transport,7,139,0,3,0,1,1,1,0.125156446,0,0.123355263,0,0.066755674,0.02016129,0.070422535
nucleotide-excision repair,3,258,0,3,0,0,1,1,0.053638477,0,0.123355263,0,0,0.02016129,0.070422535
G-protein beta/gamma-subunit complex binding,1,558,1,2,0,0,0,1,0.017879492,0.063091483,0.082236842,0,0,0,0.070422535
guanyl nucleotide binding,1,559,1,2,0,0,0,1,0.017879492,0.063091483,0.082236842,0,0,0,0.070422535
adenylate cyclase-modulating G protein-coupled receptor signaling pathway,0,1119,1,2,0,0,0,1,0,0.063091483,0.082236842,0,0,0,0.070422535
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",3,250,0,2,0,1,2,1,0.053638477,0,0.082236842,0,0.066755674,0.040322581,0.070422535
mRNA binding,2,352,0,2,0,1,1,1,0.035758984,0,0.082236842,0,0.066755674,0.02016129,0.070422535
microtubule-based movement,3,253,4,1,0,0,2,1,0.053638477,0.252365931,0.041118421,0,0,0.040322581,0.070422535
proton transmembrane transport,3,243,3,1,0,0,8,1,0.053638477,0.189274448,0.041118421,0,0,0.161290323,0.070422535
regulation of signal transduction,0,1070,2,1,0,0,3,1,0,0.126182965,0.041118421,0,0,0.060483871,0.070422535
"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",5,164,1,1,0,0,5,1,0.089397461,0.063091483,0.041118421,0,0,0.100806452,0.070422535
MAPK cascade,4,191,1,1,0,2,3,1,0.071517969,0.063091483,0.041118421,0,0.133511348,0.060483871,0.070422535
"proton-transporting ATPase activity, rotational mechanism",3,252,1,1,0,0,2,1,0.053638477,0.063091483,0.041118421,0,0,0.040322581,0.070422535
intracellular receptor signaling pathway,1,560,1,1,0,0,0,1,0.017879492,0.063091483,0.041118421,0,0,0,0.070422535
"proton-transporting V-type ATPase, V0 domain",0,1121,1,1,0,0,0,1,0,0.063091483,0.041118421,0,0,0,0.070422535
peptidyl-prolyl cis-trans isomerase activity,4,186,0,1,0,1,5,1,0.071517969,0,0.041118421,0,0.066755674,0.100806452,0.070422535
RNA methylation,4,193,0,1,0,1,3,1,0.071517969,0,0.041118421,0,0.066755674,0.060483871,0.070422535
perinuclear region of cytoplasm,3,257,0,1,0,1,1,1,0.053638477,0,0.041118421,0,0.066755674,0.02016129,0.070422535
response to stress,3,249,0,1,0,0,3,1,0.053638477,0,0.041118421,0,0,0.060483871,0.070422535
"hydrolase activity, acting on ester bonds",3,251,0,1,0,0,2,1,0.053638477,0,0.041118421,0,0,0.040322581,0.070422535
double-strand break repair via homologous recombination,2,346,0,1,0,0,3,1,0.035758984,0,0.041118421,0,0,0.060483871,0.070422535
nucleosome assembly,2,349,0,1,0,0,2,1,0.035758984,0,0.041118421,0,0,0.040322581,0.070422535
transmembrane receptor protein tyrosine kinase activity,0,1074,0,1,0,1,2,1,0,0,0.041118421,0,0.066755674,0.040322581,0.070422535
Smc5-Smc6 complex,0,1082,0,1,0,0,2,1,0,0,0.041118421,0,0,0.040322581,0.070422535
L-ascorbic acid binding,0,1083,0,1,0,0,2,1,0,0,0.041118421,0,0,0.040322581,0.070422535
myosin filament,0,1095,0,1,0,0,1,1,0,0,0.041118421,0,0,0.02016129,0.070422535
inositol-polyphosphate 5-phosphatase activity,0,1120,0,1,0,0,0,1,0,0,0.041118421,0,0,0,0.070422535
extracellular ligand-gated ion channel activity,4,190,2,0,0,3,3,1,0.071517969,0.126182965,0,0,0.200267023,0.060483871,0.070422535
isoprenoid biosynthetic process,3,255,2,0,0,0,2,1,0.053638477,0.126182965,0,0,0,0.040322581,0.070422535
transcription regulator complex,1,544,2,0,0,2,1,1,0.017879492,0.126182965,0,0,0.133511348,0.02016129,0.070422535
"molting cycle, collagen and cuticulin-based cuticle",0,1170,2,0,0,0,0,1,0,0.126182965,0,0,0,0,0.070422535
"2 iron, 2 sulfur cluster binding",2,347,1,0,0,0,3,1,0.035758984,0.063091483,0,0,0,0.060483871,0.070422535
glycolytic process through fructose-6-phosphate,1,568,1,0,0,0,0,1,0.017879492,0.063091483,0,0,0,0,0.070422535
fructose 6-phosphate metabolic process,1,569,1,0,0,0,0,1,0.017879492,0.063091483,0,0,0,0,0.070422535
6-phosphofructokinase activity,1,570,1,0,0,0,0,1,0.017879492,0.063091483,0,0,0,0,0.070422535
prenyltransferase activity,0,1115,1,0,0,1,0,1,0,0.063091483,0,0,0.066755674,0,0.070422535
protein prenyltransferase activity,0,1116,1,0,0,1,0,1,0,0.063091483,0,0,0.066755674,0,0.070422535
signal recognition particle,0,1087,1,0,0,0,2,1,0,0.063091483,0,0,0,0.040322581,0.070422535
minus-end-directed microtubule motor activity,0,1166,1,0,0,0,0,1,0,0.063091483,0,0,0,0,0.070422535
dynein light intermediate chain binding,0,1167,1,0,0,0,0,1,0,0.063091483,0,0,0,0,0.070422535
dynein intermediate chain binding,0,1168,1,0,0,0,0,1,0,0.063091483,0,0,0,0,0.070422535
protein prenylation,0,1169,1,0,0,0,0,1,0,0.063091483,0,0,0,0,0.070422535
glutamine metabolic process,4,189,0,0,0,0,4,1,0.071517969,0,0,0,0,0.080645161,0.070422535
NADH dehydrogenase (ubiquinone) activity,4,199,0,0,0,0,0,1,0.071517969,0,0,0,0,0,0.070422535
symporter activity,3,245,0,0,0,2,4,1,0.053638477,0,0,0,0.133511348,0.080645161,0.070422535
inorganic phosphate transmembrane transporter activity,3,254,0,0,0,0,2,1,0.053638477,0,0,0,0,0.040322581,0.070422535
pentose-phosphate shunt,3,259,0,0,0,0,1,1,0.053638477,0,0,0,0,0.02016129,0.070422535
transaminase activity,3,260,0,0,0,0,1,1,0.053638477,0,0,0,0,0.02016129,0.070422535
phosphate ion transport,3,261,0,0,0,0,1,1,0.053638477,0,0,0,0,0.02016129,0.070422535
MAP kinase activity,2,351,0,0,0,2,1,1,0.035758984,0,0,0,0.133511348,0.02016129,0.070422535
steroid biosynthetic process,2,350,0,0,0,0,2,1,0.035758984,0,0,0,0,0.040322581,0.070422535
regulation of gene expression,2,353,0,0,0,0,1,1,0.035758984,0,0,0,0,0.02016129,0.070422535
steroid metabolic process,2,354,0,0,0,0,1,1,0.035758984,0,0,0,0,0.02016129,0.070422535
sterol biosynthetic process,2,355,0,0,0,0,1,1,0.035758984,0,0,0,0,0.02016129,0.070422535
glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity,2,357,0,0,0,0,0,1,0.035758984,0,0,0,0,0,0.070422535
thiol oxidase activity,1,545,0,0,0,1,1,1,0.017879492,0,0,0,0.066755674,0.02016129,0.070422535
"mitochondrial electron transport, NADH to ubiquinone",1,541,0,0,0,0,3,1,0.017879492,0,0,0,0,0.060483871,0.070422535
transcription initiation from RNA polymerase III promoter,1,543,0,0,0,0,2,1,0.017879492,0,0,0,0,0.040322581,0.070422535
ganglioside catabolic process,1,546,0,0,0,0,1,1,0.017879492,0,0,0,0,0.02016129,0.070422535
enzyme activator activity,1,547,0,0,0,0,1,1,0.017879492,0,0,0,0,0.02016129,0.070422535
hydroxymethylglutaryl-CoA synthase activity,1,548,0,0,0,0,1,1,0.017879492,0,0,0,0,0.02016129,0.070422535
acetyl-CoA metabolic process,1,549,0,0,0,0,1,1,0.017879492,0,0,0,0,0.02016129,0.070422535
"farnesyl diphosphate biosynthetic process, mevalonate pathway",1,550,0,0,0,0,1,1,0.017879492,0,0,0,0,0.02016129,0.070422535
L-malate dehydrogenase activity,1,551,0,0,0,0,1,1,0.017879492,0,0,0,0,0.02016129,0.070422535
malate metabolic process,1,552,0,0,0,0,1,1,0.017879492,0,0,0,0,0.02016129,0.070422535
malate dehydrogenase activity,1,553,0,0,0,0,1,1,0.017879492,0,0,0,0,0.02016129,0.070422535
transcription factor TFIIIC complex,1,554,0,0,0,0,1,1,0.017879492,0,0,0,0,0.02016129,0.070422535
"N,N-dimethylaniline monooxygenase activity",1,561,0,0,0,0,0,1,0.017879492,0,0,0,0,0,0.070422535
Rho protein signal transduction,1,562,0,0,0,0,0,1,0.017879492,0,0,0,0,0,0.070422535
L-alanine catabolic process,1,563,0,0,0,0,0,1,0.017879492,0,0,0,0,0,0.070422535
lipase activity,1,564,0,0,0,0,0,1,0.017879492,0,0,0,0,0,0.070422535
purine ribonucleoside salvage,1,565,0,0,0,0,0,1,0.017879492,0,0,0,0,0,0.070422535
Golgi vesicle transport,1,566,0,0,0,0,0,1,0.017879492,0,0,0,0,0,0.070422535
RNA polymerase II CTD heptapeptide repeat phosphatase activity,1,567,0,0,0,0,0,1,0.017879492,0,0,0,0,0,0.070422535
one-carbon metabolic process,0,1088,0,0,0,2,1,1,0,0,0,0,0.133511348,0.02016129,0.070422535
regulation of primary metabolic process,0,1075,0,0,0,1,2,1,0,0,0,0,0.066755674,0.040322581,0.070422535
metal ion transmembrane transporter activity,0,1089,0,0,0,1,1,1,0,0,0,0,0.066755674,0.02016129,0.070422535
metal ion transport,0,1090,0,0,0,1,1,1,0,0,0,0,0.066755674,0.02016129,0.070422535
transmembrane receptor protein tyrosine kinase signaling pathway,0,1091,0,0,0,1,1,1,0,0,0,0,0.066755674,0.02016129,0.070422535
inward rectifier potassium channel activity,0,1114,0,0,0,1,0,1,0,0,0,0,0.066755674,0,0.070422535
endoplasmic reticulum lumen,0,1065,0,0,0,0,7,1,0,0,0,0,0,0.141129032,0.070422535
'de novo' pyrimidine nucleobase biosynthetic process,0,1071,0,0,0,0,3,1,0,0,0,0,0,0.060483871,0.070422535
acyl-CoA metabolic process,0,1072,0,0,0,0,3,1,0,0,0,0,0,0.060483871,0.070422535
acyl-CoA hydrolase activity,0,1073,0,0,0,0,3,1,0,0,0,0,0,0.060483871,0.070422535
ATP synthesis coupled electron transport,0,1084,0,0,0,0,2,1,0,0,0,0,0,0.040322581,0.070422535
glutathione biosynthetic process,0,1085,0,0,0,0,2,1,0,0,0,0,0,0.040322581,0.070422535
peptidyl-dipeptidase activity,0,1086,0,0,0,0,2,1,0,0,0,0,0,0.040322581,0.070422535
acyl-CoA dehydrogenase activity,0,1096,0,0,0,0,1,1,0,0,0,0,0,0.02016129,0.070422535
"oxidoreductase activity, acting on CH-OH group of donors",0,1097,0,0,0,0,1,1,0,0,0,0,0,0.02016129,0.070422535
'de novo' UMP biosynthetic process,0,1098,0,0,0,0,1,1,0,0,0,0,0,0.02016129,0.070422535
glutamate-cysteine ligase activity,0,1099,0,0,0,0,1,1,0,0,0,0,0,0.02016129,0.070422535
gamma-glutamyl-peptidase activity,0,1100,0,0,0,0,1,1,0,0,0,0,0,0.02016129,0.070422535
omega peptidase activity,0,1101,0,0,0,0,1,1,0,0,0,0,0,0.02016129,0.070422535
reproduction,0,1102,0,0,0,0,1,1,0,0,0,0,0,0.02016129,0.070422535
tRNA wobble adenosine to inosine editing,0,1103,0,0,0,0,1,1,0,0,0,0,0,0.02016129,0.070422535
tRNA-specific adenosine deaminase activity,0,1104,0,0,0,0,1,1,0,0,0,0,0,0.02016129,0.070422535
procollagen-proline 4-dioxygenase activity,0,1105,0,0,0,0,1,1,0,0,0,0,0,0.02016129,0.070422535
non-membrane spanning protein tyrosine phosphatase activity,0,1106,0,0,0,0,1,1,0,0,0,0,0,0.02016129,0.070422535
dipeptidyl-peptidase activity,0,1107,0,0,0,0,1,1,0,0,0,0,0,0.02016129,0.070422535
photoreceptor cell maintenance,0,1108,0,0,0,0,1,1,0,0,0,0,0,0.02016129,0.070422535
sensory perception,0,1109,0,0,0,0,1,1,0,0,0,0,0,0.02016129,0.070422535
collagen-containing extracellular matrix,0,1110,0,0,0,0,1,1,0,0,0,0,0,0.02016129,0.070422535
glucose metabolic process,0,1122,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
glucose-6-phosphate dehydrogenase activity,0,1123,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
phosphoenolpyruvate carboxykinase (GTP) activity,0,1124,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
phosphoenolpyruvate carboxykinase activity,0,1125,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
purine nucleotide binding,0,1126,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
dihydroorotate dehydrogenase activity,0,1127,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
TRAPPII protein complex,0,1128,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
SUMO transferase activity,0,1129,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
protein sumoylation,0,1130,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
ecdysone binding,0,1131,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
ecdysone receptor-mediated signaling pathway,0,1132,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
extracellular matrix,0,1133,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
mRNA cap binding complex,0,1134,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
AMP salvage,0,1135,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
adenine phosphoribosyltransferase activity,0,1136,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
adenine salvage,0,1137,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
Rab protein signal transduction,0,1138,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
DNA replication-dependent chromatin assembly,0,1139,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
ferroxidase activity,0,1140,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
cellular iron ion homeostasis,0,1141,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
iron ion transport,0,1142,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
ferric iron binding,0,1143,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
aminoacylase activity,0,1144,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
N-acetylglucosaminylphosphatidylinositol deacetylase activity,0,1145,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
succinate dehydrogenase activity,0,1146,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
succinate dehydrogenase complex,0,1147,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
protein-disulfide reductase activity,0,1148,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
protein import into mitochondrial intermembrane space,0,1149,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
vitamin transmembrane transport,0,1150,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
vitamin transmembrane transporter activity,0,1151,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
vitamin transport,0,1152,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
"phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity",0,1153,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
phosphatidylinositol phosphate phosphatase activity,0,1154,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
transcription factor TFIIH core complex,0,1155,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
lamellipodium,0,1156,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
tetrahydrofolylpolyglutamate biosynthetic process,0,1157,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
tetrahydrofolylpolyglutamate synthase activity,0,1158,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
folic acid-containing compound biosynthetic process,0,1159,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
acid-amino acid ligase activity,0,1160,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
glucose-6-phosphatase activity,0,1161,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
protein geranylgeranylation,0,1162,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
Rab geranylgeranyltransferase activity,0,1163,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
Rab-protein geranylgeranyltransferase complex,0,1164,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
nucleoside-diphosphatase activity,0,1165,0,0,0,0,0,1,0,0,0,0,0,0,0.070422535
protein homooligomerization,5,179,1,4,0,0,0,0,0.089397461,0.063091483,0.164473684,0,0,0,0
damaged DNA binding,3,289,0,4,0,0,1,0,0.053638477,0,0.164473684,0,0,0.02016129,0
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",1,636,2,3,0,0,1,0,0.017879492,0.126182965,0.123355263,0,0,0.02016129,0
response to stimulus,3,309,1,3,0,0,0,0,0.053638477,0.063091483,0.123355263,0,0,0,0
signaling receptor activity,1,728,1,3,0,0,0,0,0.017879492,0.063091483,0.123355263,0,0,0,0
ribosomal large subunit biogenesis,1,729,1,3,0,0,0,0,0.017879492,0.063091483,0.123355263,0,0,0,0
tRNA binding,4,203,0,3,0,1,5,0,0.071517969,0,0.123355263,0,0.066755674,0.100806452,0
ionotropic glutamate receptor signaling pathway,4,223,0,3,0,0,0,0,0.071517969,0,0.123355263,0,0,0,0
ionotropic glutamate receptor activity,4,224,0,3,0,0,0,0,0.071517969,0,0.123355263,0,0,0,0
BBSome,4,225,0,3,0,0,0,0,0.071517969,0,0.123355263,0,0,0,0
"positive regulation of transcription, DNA-templated",3,290,0,3,0,0,1,0,0.053638477,0,0.123355263,0,0,0.02016129,0
ligand-gated ion channel activity,3,308,0,3,0,0,0,0,0.053638477,0,0.123355263,0,0,0,0
non-motile cilium assembly,1,727,0,3,0,0,0,0,0.017879492,0,0.123355263,0,0,0,0
phosphatidylinositol binding,4,204,3,2,0,2,3,0,0.071517969,0.189274448,0.082236842,0,0.133511348,0.060483871,0
endoplasmic reticulum to Golgi vesicle-mediated transport,6,158,2,2,0,0,2,0,0.107276953,0.126182965,0.082236842,0,0,0.040322581,0
chaperone binding,2,410,2,2,0,0,1,0,0.035758984,0.126182965,0.082236842,0,0,0.02016129,0
vacuolar transport,1,638,2,2,0,0,1,0,0.017879492,0.126182965,0.082236842,0,0,0.02016129,0
